Date,consomation
1980,8493
1981,9321
1982,10440
1983,11098
1984,12324
1985,13273
1986,13629
1987,14132
1988,14527
1989,14382
1990,14200
1991,15096
1992,15395
1993,15652
1994,15182
1995,15745
1996,15734
1997,15227
1998,16506
1999,17200
2000,18300
2003,18995
2006,20526
2009,22425
2012,23530
2015,24509
2018,25703
2021,27537
2024,29298
